Decoding Param,Model,F-stat X,p-value X,F-stat Y,p-value Y
tmp,gemma,2.94e-02,8.64e-01,5.60e-02,8.14e-01
,Llama3,7.23e-02,7.89e-01,5.34e-01,4.67e-01
,Falcon,1.34e-03,9.71e-01,3.24e-03,9.55e-01
,Mistral,1.36e-03,9.71e-01,3.02e-03,9.56e-01
top_k,gemma,1.23e-01,7.27e-01,3.20e-02,8.59e-01
,Llama3,6.78e-02,7.95e-01,9.54e-02,7.58e-01
,Falcon,4.42e-03,9.47e-01,6.14e-02,8.05e-01
,Mistral,1.36e-03,9.71e-01,3.02e-03,9.56e-01
n_beams,gemma,3.51e-01,5.55e-01,3.28e-01,5.68e-01
,Llama3,1.63e+01,1.36e-04,1.03e+00,3.14e-01
,Falcon,4.29e+01,7.71e-09,8.42e+01,1.11e-13
,Mistral,3.24e+00,7.59e-02,4.93e-01,4.85e-01
